objectid,unit_name,countyname,tot_pop_y,tot_white,tot_black,tot_asian,tot_amind,tot_other,tot_hispanic,vap_total,vap_white,vap_black,vap_asian,vap_amind,vap_other,vap_hispanic,reg_total_24_12,reg_white_24_12,reg_black_24_12,reg_other_24_12,reg_dem_total_24_12,reg_dem_white_24_12,reg_dem_black_24_12,reg_dem_other_24_12,reg_rep_total_24_12,reg_rep_white_24_12,reg_rep_black_24_12,reg_rep_other_24_12,reg_oth_total_24_12,reg_oth_white_24_12,reg_oth_black_24_12,reg_oth_other_24_12,congressional,senate,house,public_service_commission,supreme_court
2350,15-15A,Orleans,1069,367,613,28,8,53,98,883,334,480,19,8,42,69,738,242,435,61,478,86,366,26,95,81,7,7,165,75,62,28,Congressional District 2,State Senate District 7,State House District 102,District 3,District 7
2296,13-1,Orleans,546,311,170,25,9,31,49,466,275,140,13,9,29,42,417,231,132,54,245,114,102,29,30,25,2,3,142,92,28,22,Congressional District 2,State Senate District 5,State House District 98,District 3,District 7
2790,3-16,East Baton Rouge,1298,1137,43,24,32,62,66,1039,929,31,19,24,36,38,1126,1053,32,41,173,133,28,12,659,644,0,15,294,276,4,14,Congressional District 5,State Senate District 6,State House District 66,District 2,District 6
3452,71,Tangipahoa,1661,960,572,19,40,70,99,1283,797,399,9,32,46,59,949,628,292,29,333,101,223,9,351,335,5,11,265,192,64,9,Congressional District 1,State Senate District 37,State House District 73,District 1,District 1
3454,111A,Tangipahoa,1981,661,1154,15,36,115,132,1390,536,739,11,17,87,88,791,345,424,22,441,106,324,11,155,142,10,3,195,97,90,8,Congressional District 5,State Senate District 37,State House District 72,District 1,District 1
2034,11-4,Orleans,659,435,146,20,4,54,66,561,379,116,19,4,43,50,527,347,127,53,316,191,96,29,42,34,5,3,169,122,26,21,Congressional District 1,State Senate District 5,State House District 91,District 3,District 7
2035,10-6,Orleans,869,503,282,25,22,37,51,726,420,236,22,20,28,36,695,352,279,64,465,214,215,36,38,30,3,5,192,108,61,23,Congressional District 2,State Senate District 5,State House District 91,District 3,District 7
3400,129A,Tangipahoa,994,479,481,3,10,21,30,662,389,256,1,8,8,19,462,287,158,17,175,55,114,6,163,155,4,4,124,77,40,7,Congressional District 5,State Senate District 37,State House District 72,District 1,District 1
3402,125,Tangipahoa,3176,1458,1429,27,32,230,248,2358,1187,979,23,18,151,162,1243,776,414,53,456,129,316,11,459,441,5,13,328,206,93,29,Congressional District 5,State Senate District 37,State House District 95,District 1,District 1
2791,3-17,East Baton Rouge,1951,1646,123,64,18,100,95,1556,1333,92,46,17,68,60,1507,1336,77,94,328,267,44,17,748,716,3,29,431,353,30,48,Congressional District 5,State Senate District 16,State House District 68,District 2,District 6
3843,2A,West Baton Rouge,293,171,113,0,4,5,5,224,132,87,0,1,4,4,239,131,104,4,112,24,86,2,83,81,2,0,44,26,16,2,Congressional District 6,State Senate District 17,State House District 29,District 2,District 2
3525,4-3C,Vernon,2638,1532,606,126,78,296,431,1678,968,379,79,52,200,257,289,146,77,66,66,12,36,18,105,75,5,25,118,59,36,23,Congressional District 4,State Senate District 30,State House District 30,District 4,District 3
3396,102,Tangipahoa,1574,1030,503,2,18,21,35,1172,784,357,0,13,18,26,928,717,192,19,258,111,144,3,448,432,9,7,222,174,39,9,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
3397,104,Tangipahoa,1610,1235,319,4,13,39,43,1212,944,224,2,12,30,34,1019,835,160,24,302,165,132,5,478,469,6,3,239,201,22,16,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
3462,33,Tangipahoa,635,429,121,17,22,46,55,470,343,75,8,15,29,35,322,264,40,18,94,60,28,6,138,132,3,3,90,72,9,9,Congressional District 5,State Senate District 37,State House District 86,District 1,District 1
2291,17-15,Orleans,579,85,441,1,2,50,68,480,80,368,0,2,30,40,592,62,489,41,435,24,395,16,28,11,12,5,129,27,82,20,Congressional District 2,State Senate District 5,State House District 23,District 3,District 7
2293,8-24,Orleans,788,229,481,17,7,54,60,644,210,378,17,7,32,39,577,190,347,40,420,118,281,21,32,23,8,1,125,49,58,18,Congressional District 2,State Senate District 3,State House District 97,District 3,District 7
2297,12-6,Orleans,522,433,44,5,12,28,47,438,367,37,5,9,20,30,424,325,53,46,227,158,49,20,71,64,0,7,126,103,4,19,Congressional District 1,State Senate District 5,State House District 91,District 3,District 7
2298,17-13A,Orleans,661,31,600,3,3,24,47,484,28,436,3,2,15,30,348,18,313,17,266,6,249,11,10,1,7,2,72,11,57,4,Congressional District 2,State Senate District 5,State House District 23,District 3,District 7
2299,17-11,Orleans,922,71,777,3,10,61,88,698,57,590,3,10,38,59,526,29,469,28,410,15,381,14,10,0,6,4,106,14,82,10,Congressional District 2,State Senate District 5,State House District 23,District 3,District 7
2159,7-12,Orleans,857,466,326,12,13,40,63,756,425,278,9,11,33,46,682,365,251,66,474,236,200,38,37,28,7,2,171,101,44,26,Congressional District 2,State Senate District 4,State House District 23,District 3,District 7
3437,16,Tangipahoa,1087,783,257,13,5,29,20,838,633,168,11,4,22,16,650,553,77,20,165,106,58,1,330,320,1,9,155,127,18,10,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
3438,120,Tangipahoa,2658,2186,213,9,77,173,196,2032,1714,125,7,63,123,125,1710,1522,102,86,284,213,61,10,907,863,2,42,519,446,39,34,Congressional District 5,State Senate District 12,State House District 73,District 1,District 1
6738,5-5,Iberia,1223,921,206,17,13,66,77,954,754,135,12,4,49,47,809,651,122,36,228,119,99,10,373,359,3,11,208,173,20,15,Congressional District 3,State Senate District 22,State House District 49,District 4,District 5
7416,46B,Vermilion,489,282,178,4,6,19,16,363,213,127,3,4,16,13,343,197,133,13,138,41,93,4,115,108,5,2,90,48,35,7,Congressional District 3,State Senate District 26,State House District 49,District 4,District 5
1050,1160,Evangeline,614,30,576,1,0,7,14,442,13,428,0,0,1,2,424,6,416,2,348,1,345,2,14,4,10,0,62,1,61,0,Congressional District 4,State Senate District 28,State House District 38,District 4,District 3
1139,3-5,Natchitoches,700,613,47,2,19,19,24,525,457,31,2,18,17,17,435,397,21,17,83,66,15,2,235,224,1,10,117,107,5,5,Congressional District 6,State Senate District 31,State House District 25,District 5,District 3
