objectid,unit_name,countyname,tot_pop_y,tot_white,tot_black,tot_asian,tot_amind,tot_other,tot_hispanic,vap_total,vap_white,vap_black,vap_asian,vap_amind,vap_other,vap_hispanic,reg_total_24_12,reg_white_24_12,reg_black_24_12,reg_other_24_12,reg_dem_total_24_12,reg_dem_white_24_12,reg_dem_black_24_12,reg_dem_other_24_12,reg_rep_total_24_12,reg_rep_white_24_12,reg_rep_black_24_12,reg_rep_other_24_12,reg_oth_total_24_12,reg_oth_white_24_12,reg_oth_black_24_12,reg_oth_other_24_12,congressional,senate,house,public_service_commission,supreme_court
49,42,Webster,674,513,115,4,20,22,21,529,418,81,1,15,14,13,432,359,60,13,97,44,53,0,199,195,1,3,136,120,6,10,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
50,25A,Webster,109,0,109,0,0,0,0,79,0,79,0,0,0,0,55,0,55,0,47,0,47,0,1,0,1,0,7,0,7,0,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
52,1,West Carroll,358,201,144,1,7,5,5,286,165,109,0,7,5,5,270,148,120,2,125,38,87,0,84,77,6,1,61,33,27,1,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
28,22,Union,890,827,23,1,20,19,31,736,684,20,1,17,14,19,692,657,20,15,98,81,16,1,448,439,0,9,146,137,4,5,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
29,23,Union,833,760,17,2,23,31,30,636,588,14,1,16,17,17,648,618,8,22,101,91,5,5,402,393,0,9,145,134,3,8,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
31,13,Union,399,65,325,0,0,9,11,269,55,209,0,0,5,7,201,39,156,6,125,12,111,2,30,21,9,0,46,6,36,4,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
32,9,West Feliciana,605,159,440,0,4,2,4,431,106,319,0,4,2,2,484,149,328,7,307,20,286,1,95,90,5,0,82,39,37,6,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
33,12,West Feliciana,286,248,18,7,7,6,11,202,180,16,0,2,4,7,197,191,3,3,32,30,2,0,121,121,0,0,44,40,1,3,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
34,2,West Feliciana,610,259,327,5,3,16,10,436,190,228,5,1,12,9,533,210,317,6,314,39,272,3,127,123,4,0,92,48,41,3,Congressional District 5,State Senate District 17,State House District 18,District 2,District 2
74,8,Webster,717,678,6,2,23,8,6,558,533,2,2,16,5,3,427,414,4,9,55,51,3,1,241,236,0,5,131,127,1,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
75,11,Webster,1643,1496,70,3,45,29,23,1331,1203,63,3,38,24,13,997,937,44,16,179,139,36,4,581,575,1,5,237,223,7,7,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
80,16,Webster,1615,1338,190,4,47,36,21,1261,1064,142,2,36,17,10,1100,965,121,14,245,152,93,0,586,577,1,8,269,236,27,6,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
83,15,Webster,467,381,66,2,3,15,6,371,303,59,1,2,6,1,325,273,42,10,62,29,32,1,191,184,1,6,72,60,9,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
84,12,Webster,787,382,373,0,25,7,12,585,289,275,0,18,3,6,454,231,217,6,207,41,165,1,128,121,5,2,119,69,47,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
85,13,Webster,226,195,8,1,12,10,11,178,153,4,1,12,8,6,164,157,5,2,30,26,3,1,98,97,0,1,36,34,2,0,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
23,11,Union,1712,930,573,5,36,168,206,1270,742,387,2,31,108,135,1075,692,332,51,353,111,231,11,474,454,12,8,248,127,89,32,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
1,430,St. Tammany,1199,979,97,25,21,77,105,927,782,55,15,18,57,74,779,691,37,51,143,112,24,7,372,356,1,15,264,223,12,29,Congressional District 1,State Senate District 11,State House District 104,District 1,District 1
2,116,St. Tammany,1294,1138,24,30,33,69,90,922,813,14,18,24,53,64,911,854,14,43,88,73,9,6,595,576,2,17,228,205,3,20,Congressional District 1,State Senate District 11,State House District 77,District 1,District 1
3,14,Union,755,98,616,6,11,24,31,559,85,448,3,9,14,20,535,75,440,20,351,11,327,13,62,50,11,1,122,14,102,6,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
4,24,Union,934,671,213,4,22,24,25,719,525,163,4,12,15,14,639,438,190,11,241,78,160,3,268,260,6,2,130,100,24,6,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
7,7,Union,1045,835,128,4,16,62,74,822,685,83,1,13,40,41,781,680,80,21,146,73,67,6,476,471,1,4,159,136,12,11,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
45,39,Webster,1395,835,500,2,35,23,29,1100,679,376,1,30,14,15,860,604,246,10,264,65,197,2,375,368,5,2,221,171,44,6,Congressional District 4,State Senate District 31,State House District 10,District 5,District 4
46,36,Webster,250,234,10,0,5,1,3,198,184,9,0,5,0,2,187,173,9,5,24,17,7,0,115,111,0,4,48,45,2,1,Congressional District 4,State Senate District 31,State House District 10,District 5,District 4
47,38,Webster,213,181,15,3,6,8,6,164,138,13,2,5,6,4,146,136,6,4,23,19,3,1,90,87,0,3,33,30,3,0,Congressional District 4,State Senate District 31,State House District 10,District 5,District 4
35,8,West Feliciana,626,558,43,1,19,5,19,484,436,33,1,11,3,11,518,477,33,8,126,96,29,1,275,269,1,5,117,112,3,2,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
37,7,West Feliciana,349,301,40,3,1,4,5,258,223,27,3,1,4,5,317,280,27,10,56,34,21,1,176,171,0,5,85,75,6,4,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
38,13,West Feliciana,5972,4727,993,4,83,165,432,5789,4571,976,0,79,163,424,433,383,45,5,95,55,40,0,204,198,2,4,134,130,3,1,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
41,10,West Feliciana,339,70,262,2,2,3,2,254,52,201,0,0,1,1,262,37,220,5,204,9,195,0,22,20,0,2,36,8,25,3,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
42,11,West Feliciana,194,85,107,0,0,2,2,168,72,94,0,0,2,2,213,80,128,5,130,15,114,1,47,44,2,1,36,21,12,3,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
43,1,West Feliciana,483,402,49,7,8,17,15,371,312,41,4,4,10,8,380,353,21,6,76,59,15,2,176,175,1,0,128,119,5,4,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
5767,7-3,Bienville,429,359,54,6,6,4,8,310,257,42,3,5,3,7,252,217,29,6,54,34,19,1,138,135,0,3,60,48,10,2,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
11,9,Union,147,62,64,1,2,18,19,121,44,62,1,1,13,11,99,51,41,7,37,8,28,1,34,30,2,2,28,13,11,4,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
13,8,Union,139,113,23,0,2,1,3,102,84,15,0,2,1,2,132,93,33,6,43,19,23,1,53,51,2,0,36,23,8,5,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
14,19,Union,802,708,67,1,7,19,19,653,574,61,1,6,11,15,637,560,57,20,113,64,46,3,361,349,2,10,163,147,9,7,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
15,17,Union,708,664,9,0,16,19,18,587,556,3,0,15,13,12,514,496,5,13,63,58,3,2,338,334,1,3,113,104,1,8,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
16,18,Union,948,865,34,4,24,21,37,730,673,28,2,16,11,21,697,662,18,17,116,102,11,3,396,388,2,6,185,172,5,8,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
17,20,Union,633,595,21,1,9,7,9,510,485,11,1,6,7,8,489,479,1,9,76,73,1,2,312,310,0,2,101,96,0,5,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
91,26,Webster,1213,594,585,13,8,13,20,946,494,430,10,5,7,5,799,439,346,14,334,65,262,7,314,301,10,3,151,73,74,4,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
92,17A,Webster,336,131,186,3,8,8,15,270,103,152,0,8,7,11,181,58,119,4,108,7,100,1,34,32,0,2,39,19,19,1,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
62,15,West Carroll,210,192,6,2,5,5,9,157,144,5,1,3,4,8,141,139,0,2,26,26,0,0,81,79,0,2,34,34,0,0,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
63,14,West Carroll,246,210,29,0,4,3,5,196,168,23,0,3,2,3,223,196,25,2,44,27,17,0,127,123,2,2,52,46,6,0,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
65,12,West Carroll,579,484,77,1,8,9,15,438,384,44,1,4,5,12,389,340,43,6,70,43,27,0,217,209,5,3,102,88,11,3,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
86,41,Webster,2360,1970,220,28,74,68,70,1916,1611,181,18,56,50,44,1441,1266,135,40,265,151,106,8,774,748,6,20,402,367,23,12,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
147,8-3,La Salle,272,260,3,0,6,3,1,192,184,1,0,4,3,1,224,215,2,7,30,27,1,2,147,143,0,4,47,45,1,1,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
87,29,Webster,887,769,73,10,15,20,27,684,608,48,6,8,14,21,629,586,35,8,72,48,23,1,450,443,1,6,107,95,11,1,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
88,31,Webster,729,601,105,0,18,5,10,578,480,78,0,18,2,4,472,415,51,6,90,49,40,1,271,268,1,2,111,98,10,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
89,17,Webster,875,658,193,9,5,10,10,649,492,136,9,5,7,5,544,430,84,30,115,48,61,6,286,274,2,10,143,108,21,14,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
53,3,West Carroll,268,168,74,2,5,19,14,181,118,49,1,4,9,6,153,107,42,4,59,23,36,0,56,53,1,2,38,31,5,2,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
5764,1-5,Bienville,65,42,20,0,2,1,1,52,33,17,0,2,0,0,34,23,10,1,11,2,9,0,14,14,0,0,9,7,1,1,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
5765,4-3,Bienville,912,715,163,2,24,8,8,742,587,130,0,20,5,5,618,518,91,9,144,76,67,1,314,306,3,5,160,136,21,3,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
5766,1-6,Bienville,319,207,103,3,5,1,2,255,157,90,3,4,1,2,242,151,89,2,103,22,80,1,100,96,3,1,39,33,6,0,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
66,10,West Carroll,868,635,219,1,4,9,21,645,506,132,0,3,4,11,660,485,172,3,188,69,118,1,323,312,10,1,149,104,44,1,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
67,11,West Carroll,413,165,214,3,11,20,22,313,118,169,2,7,17,16,281,84,194,3,153,14,139,0,57,43,11,3,71,27,44,0,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
54,3A,West Carroll,258,238,15,1,4,0,2,193,182,9,0,2,0,2,173,161,9,3,36,30,6,0,94,91,1,2,43,40,2,1,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
55,4,West Carroll,149,61,70,0,11,7,16,105,43,46,0,10,6,6,123,61,61,1,39,7,32,0,44,33,10,1,40,21,19,0,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
56,9,West Carroll,547,504,11,1,20,11,20,435,405,8,1,14,7,12,379,372,1,6,65,64,1,0,232,229,0,3,82,79,0,3,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
57,6,West Carroll,908,872,7,1,16,12,30,745,715,7,1,15,7,21,694,685,0,9,90,89,0,1,426,421,0,5,178,175,0,3,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
79,14,Webster,429,326,77,3,11,12,16,338,252,65,2,9,10,13,293,250,37,6,50,21,29,0,157,154,0,3,86,75,8,3,Congressional District 4,State Senate District 33,State House District 10,District 5,District 4
132,2-1,La Salle,1253,1146,41,3,41,22,32,919,847,28,2,30,12,20,791,750,22,19,140,117,18,5,439,430,2,7,212,203,2,7,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
222,6-1,Bienville,197,176,5,3,13,0,1,164,146,5,2,11,0,1,121,119,0,2,16,15,0,1,83,83,0,0,22,21,0,1,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
59,5,West Carroll,852,740,78,3,9,22,33,638,560,53,3,8,14,19,609,555,39,15,129,98,29,2,340,330,3,7,140,127,7,6,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
60,7,West Carroll,304,264,12,1,5,22,29,233,209,8,1,3,12,16,219,205,6,8,36,30,3,3,116,115,0,1,67,60,3,4,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
61,16,West Carroll,1260,1070,148,1,29,12,28,971,834,106,1,22,8,16,870,752,113,5,177,104,73,0,484,474,9,1,209,174,31,4,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
70,1,Webster,1304,1001,237,10,36,20,24,993,791,156,7,28,11,16,658,565,74,19,147,87,57,3,341,333,1,7,170,145,16,9,Congressional District 4,State Senate District 33,State House District 10,District 5,District 4
71,6,Webster,1206,385,802,3,7,9,13,910,281,612,3,6,8,12,641,198,430,13,386,40,342,4,115,102,11,2,140,56,77,7,Congressional District 4,State Senate District 33,State House District 10,District 5,District 4
72,5,Webster,491,382,88,3,8,10,8,407,338,53,3,5,8,6,311,254,51,6,83,46,36,1,152,149,1,2,76,59,14,3,Congressional District 4,State Senate District 33,State House District 10,District 5,District 4
90,22,Webster,1661,969,614,19,41,18,27,1267,784,412,17,41,13,23,866,582,261,23,276,70,203,3,350,337,7,6,240,175,51,14,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
1913,327,Calcasieu,909,492,282,20,24,91,87,710,421,183,16,20,70,60,389,281,92,16,142,77,63,2,119,113,0,6,128,91,29,8,Congressional District 3,State Senate District 25,State House District 36,District 4,District 3
114,1-3,Allen,427,297,96,3,24,7,5,310,218,68,3,15,6,4,287,214,66,7,109,50,56,3,124,121,2,1,54,43,8,3,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
115,4-3,Allen,740,701,6,0,15,18,9,534,500,3,0,15,16,7,485,477,0,8,117,115,0,2,275,271,0,4,93,91,0,2,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
189,6-2,St. Helena,518,426,61,8,15,8,12,424,352,49,6,11,6,7,392,367,18,7,94,81,12,1,212,210,0,2,86,76,6,4,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
190,6-1,St. Helena,1046,825,191,4,12,14,18,861,692,144,4,8,13,16,884,741,125,18,287,180,105,2,410,400,4,6,187,161,16,10,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
191,5-1,St. Helena,1996,475,1472,1,14,34,45,1486,393,1050,1,12,30,33,1351,339,978,34,898,105,783,10,174,150,21,3,279,84,174,21,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
149,8-7,La Salle,587,566,1,3,16,1,1,456,441,1,3,11,0,1,417,411,2,4,82,80,2,0,259,258,0,1,76,73,0,3,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
150,8-5,La Salle,156,147,2,0,4,3,6,104,99,0,0,3,2,3,115,114,0,1,21,21,0,0,75,74,0,1,19,19,0,0,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
151,9-3,La Salle,173,162,2,0,9,0,0,126,119,0,0,7,0,0,170,167,0,3,27,27,0,0,106,104,0,2,37,36,0,1,Congressional District 5,State Senate District 32,State House District 20,District 4,District 4
152,9-5,La Salle,106,97,0,0,9,0,0,80,75,0,0,5,0,0,70,70,0,0,11,11,0,0,48,48,0,0,11,11,0,0,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
153,1-1,Winn,651,100,526,4,11,10,16,484,84,382,3,8,7,10,454,54,397,3,308,11,296,1,40,28,12,0,106,15,89,2,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
154,1-3,Winn,461,342,97,4,11,7,7,356,282,64,2,8,0,3,319,263,48,8,76,53,23,0,151,142,6,3,92,68,19,5,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
166,7-7,Winn,331,320,4,1,6,0,1,262,255,2,1,4,0,0,242,237,3,2,42,39,3,0,136,136,0,0,64,62,0,2,Congressional District 4,State Senate District 35,State House District 13,District 5,District 4
175,4-1,Winn,287,232,46,5,1,3,4,210,175,29,5,1,0,0,202,162,36,4,50,25,23,2,106,105,1,0,46,32,12,2,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
94,33,Webster,2136,917,1164,3,17,35,38,1529,721,768,3,16,21,31,1078,624,430,24,439,83,351,5,396,377,10,9,243,164,69,10,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
171,4-3,Winn,920,672,209,7,28,4,4,713,518,167,0,26,2,4,703,553,138,12,190,82,107,1,344,334,3,7,169,137,28,4,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
173,4-5,Winn,574,529,18,0,12,15,15,434,404,12,0,11,7,9,436,425,4,7,85,81,2,2,258,255,0,3,93,89,2,2,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
2704,61,Ouachita,1189,1056,82,17,16,18,25,939,840,64,8,13,14,18,777,701,48,28,142,106,31,5,389,377,1,11,246,218,16,12,Congressional District 4,State Senate District 35,State House District 14,District 5,District 4
177,6-6,Winn,157,149,3,4,1,0,1,123,118,3,1,1,0,0,85,83,2,0,9,7,2,0,60,60,0,0,16,16,0,0,Congressional District 4,State Senate District 35,State House District 13,District 5,District 4
179,6-1,Winn,587,410,161,2,3,11,11,463,356,93,1,3,10,8,420,342,71,7,121,68,53,0,190,186,2,2,109,88,16,5,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
180,5-5,Winn,735,681,11,8,16,19,14,567,526,7,4,11,19,12,438,430,1,7,75,75,0,0,238,235,0,3,125,120,1,4,Congressional District 4,State Senate District 35,State House District 13,District 5,District 4
181,5-1,Winn,168,161,4,0,2,1,2,139,135,2,0,2,0,0,138,137,0,1,22,22,0,0,87,87,0,0,29,28,0,1,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
182,5-3,Winn,426,341,64,2,11,8,7,341,270,59,0,4,8,4,282,238,41,3,51,21,28,2,157,157,0,0,74,60,13,1,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
183,5-2,Winn,476,424,42,3,6,1,1,362,319,34,3,5,1,0,349,298,44,7,73,42,30,1,145,141,2,2,131,115,12,4,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
133,3-1,La Salle,1211,698,90,147,23,253,269,1047,543,89,146,17,252,259,443,432,0,11,73,71,0,2,247,239,0,8,123,122,0,1,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
135,9-1,La Salle,652,625,14,0,8,5,4,523,505,7,0,6,5,3,499,481,10,8,60,53,6,1,353,344,2,7,86,84,2,0,Congressional District 5,State Senate District 32,State House District 20,District 4,District 4
159,2-1,Winn,356,108,233,0,3,12,13,262,80,172,0,1,9,9,204,64,131,9,111,16,94,1,31,25,5,1,62,23,32,7,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
184,1-1,St. Helena,1538,712,743,6,30,47,39,1236,611,566,3,24,32,27,1144,587,546,11,645,162,482,1,307,298,5,4,192,127,59,6,Congressional District 5,State Senate District 17,State House District 72,District 1,District 2
7884,5-4,Allen,1724,1410,209,24,54,27,50,1235,1056,110,20,37,12,28,924,857,35,32,235,205,24,6,473,460,4,9,216,192,7,17,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
109,3-1,Allen,550,506,13,2,15,14,12,411,384,9,1,6,11,12,381,357,12,12,49,40,8,1,248,238,2,8,84,79,2,3,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
111,3-2,Allen,1313,1229,22,11,32,19,24,989,928,9,10,30,12,17,874,819,26,29,140,123,14,3,475,461,0,14,259,235,12,12,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
7887,38,Ascension,1308,227,952,15,29,85,102,965,183,695,13,19,55,60,842,176,610,56,546,42,489,15,97,80,12,5,199,54,109,36,Congressional District 2,State Senate District 2,State House District 58,District 3,District 7
7889,50,Lafayette,1463,820,420,19,26,178,205,1078,669,274,13,15,107,119,786,587,165,34,249,120,121,8,318,310,1,7,219,157,43,19,Congressional District 6,State Senate District 24,State House District 39,District 2,District 2
112,2-2,Allen,1681,1315,257,20,54,35,47,1223,979,167,10,38,29,38,867,743,89,35,212,150,57,5,431,412,5,14,224,181,27,16,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
120,2-6,Allen,621,531,54,9,19,8,16,473,408,38,7,12,8,9,399,366,21,12,96,77,16,3,219,215,1,3,84,74,4,6,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
122,4-2,Allen,692,633,5,1,38,15,13,526,479,3,0,31,13,7,455,443,1,11,86,84,0,2,272,266,1,5,97,93,0,4,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
124,1-2,Allen,318,248,59,1,2,8,1,257,200,47,1,1,8,1,195,156,35,4,84,54,29,1,82,79,1,2,29,23,5,1,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
2188,1-1,Orleans,1397,850,285,128,22,112,138,1320,819,249,124,21,107,128,956,548,276,132,506,241,202,63,105,89,6,10,345,218,68,59,Congressional District 2,State Senate District 5,State House District 91,District 3,District 7
131,1-2,La Salle,172,159,4,0,6,3,4,121,116,1,0,2,2,2,109,108,0,1,16,16,0,0,68,68,0,0,25,24,0,1,Congressional District 5,State Senate District 32,State House District 20,District 4,District 4
95,32,Webster,754,424,255,4,30,41,43,563,337,178,4,21,23,24,449,319,118,12,141,51,89,1,212,205,3,4,96,63,26,7,Congressional District 4,State Senate District 31,State House District 10,District 5,District 4
8340,150A,Jefferson,984,432,433,65,8,46,73,784,374,318,51,4,37,48,866,325,465,76,430,59,357,14,175,154,7,14,261,112,101,48,Congressional District 2,State Senate District 19,State House District 83,District 3,District 7
98,28,Webster,1581,1244,288,13,14,22,33,1205,958,205,11,12,19,23,830,676,124,30,212,114,93,5,436,422,4,10,182,140,27,15,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
8341,150B,Jefferson,2774,847,1655,39,54,179,238,1993,688,1087,30,41,147,183,1515,530,814,171,808,163,596,49,210,163,16,31,497,204,202,91,Congressional District 2,State Senate District 19,State House District 83,District 3,District 7
100,5-7,Allen,2467,913,1411,33,65,45,27,1819,693,1028,17,53,28,16,1053,327,702,24,683,92,580,11,167,154,7,6,203,81,115,7,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
104,5-5,Allen,428,364,13,9,37,5,19,332,285,8,6,28,5,11,313,291,2,20,79,69,2,8,167,160,0,7,67,62,0,5,Congressional District 4,State Senate District 28,State House District 32,District 4,District 3
138,4-2,La Salle,1245,1097,88,0,34,26,20,961,852,63,0,22,24,15,776,745,20,11,106,93,11,2,518,512,2,4,152,140,7,5,Congressional District 5,State Senate District 32,State House District 20,District 4,District 4
202,1-4,Bienville,96,70,21,1,0,4,2,79,62,16,0,0,1,0,65,60,5,0,15,11,4,0,28,28,0,0,22,21,1,0,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
203,3-2,Bienville,413,122,282,0,4,5,8,359,113,239,0,4,3,7,353,108,242,3,228,22,206,0,69,64,5,0,56,22,31,3,Congressional District 4,State Senate District 31,State House District 11,District 5,District 4
207,3-5,Bienville,93,69,22,0,2,0,0,61,43,16,0,2,0,0,59,40,17,2,19,5,14,0,28,26,0,2,12,9,3,0,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
208,3-3,Bienville,266,143,118,0,3,2,8,213,108,100,0,3,2,3,230,120,102,8,115,20,93,2,72,68,0,4,43,32,9,2,Congressional District 4,State Senate District 31,State House District 11,District 5,District 4
373,21,De Soto,721,546,143,0,27,5,6,555,419,112,0,19,5,5,548,435,92,21,111,35,71,5,280,271,1,8,157,129,20,8,Congressional District 6,State Senate District 38,State House District 7,District 5,District 3
209,3-1,Bienville,562,66,485,0,0,11,15,436,55,373,0,0,8,11,374,56,315,3,279,19,260,0,23,23,0,0,72,14,55,3,Congressional District 4,State Senate District 33,State House District 11,District 5,District 4
192,3-2,St. Helena,150,47,100,1,0,2,7,133,43,88,0,0,2,6,133,43,90,0,87,7,80,0,27,26,1,0,19,10,9,0,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
193,4-1,St. Helena,1873,939,883,2,20,29,22,1497,781,672,1,18,25,19,1517,767,733,17,771,139,628,4,459,446,10,3,287,182,95,10,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
981,1-3,Iberia,2242,1055,985,41,31,130,170,1720,896,683,31,25,85,122,1141,691,409,41,444,146,285,13,345,322,13,10,352,223,111,18,Congressional District 3,State Senate District 22,State House District 48,District 4,District 5
420,5-1,Concordia,1223,433,767,2,11,10,11,908,371,516,2,11,8,7,679,345,323,11,340,65,272,3,215,204,8,3,124,76,43,5,Congressional District 5,State Senate District 34,State House District 21,District 5,District 2
144,7-2,La Salle,1624,427,139,90,23,945,944,1511,329,130,89,19,944,941,339,310,14,15,51,40,9,2,214,205,0,9,74,65,5,4,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
145,8-2,La Salle,292,272,7,0,9,4,1,214,198,6,0,7,3,1,176,172,1,3,24,23,0,1,113,111,1,1,39,38,0,1,Congressional District 5,State Senate District 32,State House District 22,District 4,District 4
7883,6-2,Caldwell,184,175,6,0,2,1,2,128,123,3,0,2,0,1,122,121,1,0,22,21,1,0,66,66,0,0,34,34,0,0,Congressional District 5,State Senate District 32,State House District 20,District 5,District 4
214,5-1,Bienville,866,311,543,1,6,5,10,632,248,372,1,6,5,10,504,192,306,6,302,43,258,1,115,107,6,2,87,42,42,3,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
215,5-2,Bienville,633,498,104,5,17,9,11,505,406,78,1,13,7,7,410,344,59,7,116,62,54,0,222,216,2,4,72,66,3,3,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
219,6-3,Bienville,731,554,136,7,23,11,16,509,395,92,6,13,3,4,466,376,84,6,134,64,69,1,230,228,2,0,102,84,13,5,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
220,6-4,Bienville,397,353,26,4,14,0,0,299,265,22,1,11,0,0,277,262,12,3,48,38,10,0,177,175,0,2,52,49,2,1,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
223,7-4,Bienville,718,397,303,2,7,9,8,563,300,252,2,6,3,2,520,256,259,5,248,35,213,0,174,167,5,2,98,54,41,3,Congressional District 4,State Senate District 29,State House District 13,District 5,District 4
225,7-1,Bienville,273,149,122,0,0,2,0,214,110,102,0,0,2,0,245,125,119,1,119,23,96,0,70,67,3,0,56,35,20,1,Congressional District 4,State Senate District 31,State House District 13,District 5,District 4
185,1-2,St. Helena,76,31,42,0,1,2,2,64,31,31,0,1,1,1,56,22,32,2,32,4,28,0,13,13,0,0,11,5,4,2,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
186,2-1,St. Helena,1224,181,1017,6,9,11,11,908,152,734,5,7,10,7,945,126,808,11,754,27,723,4,86,66,18,2,105,33,67,5,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
187,2-2,St. Helena,523,224,274,5,8,12,15,408,209,183,3,5,8,6,361,161,188,12,221,66,152,3,76,65,7,4,64,30,29,5,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
188,3-1,St. Helena,1782,578,1151,5,22,26,39,1283,463,776,4,20,20,22,1302,452,828,22,786,77,703,6,274,251,18,5,242,124,107,11,Congressional District 5,State Senate District 6,State House District 72,District 1,District 2
